code_site;libelle_site;code_station;libelle_station;type_station;coordonnee_x_station;coordonnee_y_station;code_projection;longitude_station;latitude_station;influence_locale_station;commentaire_station;altitude_ref_alti_station;code_systeme_alti_site;code_commune_station;libelle_commune;code_departement;code_region;libelle_region;code_cours_eau;libelle_cours_eau;uri_cours_eau;descriptif_station;date_maj_station;date_ouverture_station;date_fermeture_station;commentaire_influence_locale_station;code_regime_station;qualification_donnees_station;code_finalite_station;type_contexte_loi_stat_station;type_loi_station;code_sandre_reseau_station;date_debut_ref_alti_station;date_activation_ref_alti_station;date_maj_ref_alti_station;libelle_departement;en_service
F6640006;La Marne à Saint-Maurice;F664000601;La Marne à Saint-Maurice - Barrage (amont);LIMNI;657766;6857518;26;2.424838258736494;48.816344762444466;NA;Barrage culée rive droite.;NA;NA;94069;SAINT-MAURICE;94;11;ILE-DE-FRANCE;F---0100;La Marne;http://id.eaufrance.fr/CEA/F---0100;NA;2020-06-26T00:00:00Z;1930-01-01T00:00:00Z;NA;NA;1;16;NA;1;2;POH011,POH048,POH903;NA;NA;NA;VAL-DE-MARNE;TRUE
F6640006;La Marne à Saint-Maurice;F664000602;La Marne à Saint-Maurice - Barrage (aval);LIMNI;657766;6857518;26;2.424838258736494;48.816344762444466;NA;Barrage culée rive droite.;NA;NA;94069;SAINT-MAURICE;94;11;ILE-DE-FRANCE;F---0100;La Marne;http://id.eaufrance.fr/CEA/F---0100;NA;2020-06-26T00:00:00Z;1930-01-01T00:00:00Z;NA;NA;1;16;NA;1;2;POH011,POH048,POH903;NA;NA;NA;VAL-DE-MARNE;TRUE
F7000001;La Seine à Paris;F700000101;La Seine à Paris - Pont National - Observateur;LIMNI;654908;6858811;26;2.3857812719089333;48.8277794335946;2;Rive gauche.;23330;0;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;NA;2020-06-26T00:00:00Z;1928-03-01T00:00:00Z;2006-12-31T00:00:00Z;NA;1;16;0;1;2;POH011,POH048,POH903;2006-12-31T00:00:00Z;2013-11-18T00:00:00Z;2020-06-05T00:00:00Z;PARIS;FALSE
F7000001;La Seine à Paris;F700000102;La Seine à Paris - Austerlitz - station limni - secours CT;LIMNI;653435;6860703;26;2.3655106354242985;48.84468961972986;2;Station limnimétrique depuis 1990, date de la mise en service du lac  Aube. Depuis 2020, station de secours pour la station débitmétrique. Les débits ne sont validés qu'à partir de l'abattement des barrages soit aux alentours de H=1,50m;25920;3;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;Hauteurs importées d'HYDRO2 entre 1990 et 2020 + QJO importés d'HYDRO;2021-05-04T00:00:00Z;1990-01-01T00:00:00Z;NA;Influence par le barrage de Suresnes en aval et le barrage de Port à l'Anglais en amont. Le débit est également influencé par les lacs réservoirs Seine, Marne, Aube et Yonne (écrêtement des crues).;1;12;2;1;2;BSH004,BSH050,BSH104,BSH150,POH011,POH048,RIC066,RIC316;1876-01-01T00:00:00Z;2013-11-18T00:00:00Z;2020-07-09T00:00:00Z;PARIS;TRUE
F7000001;La Seine à Paris;F700000103;La Seine à Paris - Austerlitz [>2006] - Station débitmétrique ultrasons;DEB;653435;6860703;26;2.3655106354242985;48.84468961972986;2;Mesures par temps de transit;25.92;3;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;NA;2021-08-05T00:00:00Z;2006-01-26T00:00:00Z;NA;Influence des barrages de Suresnes en aval et de Port à l'Anglais en amont;1;16;12;1;0;POH011,POH048,POH125,RIC017,RIC116,RIC166,RIC266,RIC316;1876-01-01T00:00:00Z;2020-06-05T00:00:00Z;2020-06-23T00:00:00Z;PARIS;TRUE
F7000001;La Seine à Paris;F700000104;La Seine à Paris - Pont de la Tournelle - Observateur;LIMNI;652711;6861378;26;2.3555708680390204;48.85070715701616;NA;NA;NA;NA;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;NA;2020-10-20T00:00:00Z;1876-01-01T00:00:00Z;2020-01-01T00:00:00Z;NA;1;16;NA;1;0;POH011,POH048,POH903;NA;NA;NA;PARIS;FALSE
F7000001;La Seine à Paris;F700000105;La Seine à Paris - Pont Royal - observateur;LIMNI;650866;6862433;26;2.330307449921842;48.86005660709329;2;Rive gauche;24240;3;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;NA;2020-10-20T00:00:00Z;1872-05-01T00:00:00Z;2006-06-01T00:00:00Z;NA;1;16;0;1;2;POH011,POH048,POH903;1909-01-01T00:00:00Z;2013-11-18T00:00:00Z;2020-10-20T00:00:00Z;PARIS;FALSE
F7000001;La Seine à Paris;F700000106;La Seine à Paris - Pont Alexandre III;LIMNI;649670;6862790;26;2.313964600334267;48.86317471617681;3;NA;NA;NA;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;NA;2020-06-26T00:00:00Z;1979-01-01T00:00:00Z;1981-01-01T00:00:00Z;NA;1;20;12;1;2;NA;NA;NA;NA;PARIS;FALSE
F7000001;La Seine à Paris;F700000107;La Seine à Paris - Pont Alexandre III - Station ultrason (débit);DEB;653435;6860703;26;2.3655106354242985;48.84468961972986;2;NA;NA;NA;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;"Cette station est associée à l&#039;échelle de la station F700000106. Elle contient les données de débits mesurés par la station à ultrason.";2020-06-26T00:00:00Z;1979-01-01T00:00:00Z;1981-01-01T00:00:00Z;NA;1;16;NA;1;0;NA;NA;NA;NA;PARIS;FALSE
F7000001;La Seine à Paris;F700000108;La Seine à Paris - Pont de Garigliano - Observateur;LIMNI;646295;6860192;26;2.268291530984896;48.83953871139769;NA;NA;NA;NA;75056;PARIS;75;11;ILE-DE-FRANCE;----0010;La Seine;http://id.eaufrance.fr/CEA/----0010;NA;2020-10-20T00:00:00Z;1876-01-01T00:00:00Z;2012-01-01T00:00:00Z;NA;1;16;NA;1;0;POH011,POH048,POH903;NA;NA;NA;PARIS;FALSE
